km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age,selling_price
145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,6,450000
120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,6,370000
140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,14,158000
127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,10,225000
120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,13,130000
45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,3,440000
175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,13,96000
5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,19,45000
90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,9,350000
169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,7,200000
68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,6,500000
100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,15,92000
140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,11,280000
90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,11,180000
40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,4,400000
70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,4,778000
53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,8,500000
80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,18,150000
100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,4,680000
100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,9,174000
50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,3,950000
40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,5,525000
72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,8,600000
35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,2,500000
45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,4,575000
28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,3,275000
70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,7,300000
120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,11,220000
25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,2,254999
70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,3,670000
35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,8,150000
2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,2,730000
16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,3,650000
10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,1,330000
15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,1,366000
5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,1,1149000
42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,4,150000
60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,9,425000
76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,8,150000
5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,1,2100000
28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,2,925000
86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,7,425000
23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,2,675000
32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,2,819999
10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,2,390000
77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,6,1500000
99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,7,700000
27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,6,1450000
49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,5,425000
151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,7,1090000
54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,5,600000
64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,2,850000
63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,5,525000
127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,4,1650000
99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,4,950000
33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,7,1750000
25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,2,1590000
50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,7,1689999
59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,7,1425000
120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,9,265000
110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,9,190000
60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,7,425000
147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,5,630000
25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,3,600000
30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,1,650000
40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,4,540000
135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,5,630000
30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,2,448000
80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,3,500000
70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,4,745000
9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,1,1025000
60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,9,235000
70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,4,630000
78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,5,1700000
120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,7,450000
