km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age,selling_price
25000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,5,550000
120000,Diesel,Individual,Manual,Third Owner,18.3,1991.0,147.9,5.0,10,270000
40000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,3,350000
70000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,5.0,6,570000
80000,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,5.0,4,700000
120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,8,430000
120000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,8,450000
50000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,21,40000
112000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,9,160000
8000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,2,740000
300000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,10,320000
50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,4,270000
193623,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,8.0,12,330000
100000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,16,100000
70000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,8,145000
18000,Petrol,Dealer,Manual,Second Owner,18.5,1194.0,94.93,5.0,5,500000
39000,Diesel,Individual,Manual,First Owner,13.5,2477.0,175.56,7.0,5,1700000
57000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,7,300000
120000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,5.0,7,200000
70000,Petrol,Individual,Automatic,First Owner,16.34,1798.0,189.3,5.0,4,800000
64788,Diesel,Dealer,Automatic,First Owner,0.0,2179.0,115.0,5.0,7,1650000
16000,Petrol,Individual,Automatic,First Owner,17.4,1197.0,81.86,5.0,1,720000
120000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,23,50000
88000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,5.0,6,375000
49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,4,805000
19000,Diesel,Individual,Automatic,First Owner,28.4,1248.0,74.02,5.0,3,750000
40000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,3,650000
100000,Diesel,Individual,Manual,First Owner,18.1,1493.0,110.0,5.0,11,375000
10000,Petrol,Individual,Automatic,Second Owner,18.9,1197.0,81.86,5.0,2,650000
65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,12,105000
119000,Diesel,Individual,Manual,First Owner,14.0,2489.0,95.0,8.0,8,250000
26000,Petrol,Individual,Manual,First Owner,20.73,1373.0,91.1,5.0,5,650000
90000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,5,580000
291000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,7.0,9,750000
82500,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5.0,7,300000
100000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.2,5.0,6,430000
27000,Diesel,Dealer,Manual,First Owner,22.77,1498.0,98.59,5.0,2,950000
80000,Diesel,Individual,Automatic,Second Owner,18.1,1991.0,147.9,4.0,9,430000
30000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,81.86,5.0,2,580000
80000,Diesel,Individual,Manual,Second Owner,20.46,1461.0,83.8,5.0,7,585000
67000,Diesel,Dealer,Manual,First Owner,28.4,1248.0,74.0,5.0,6,490000
150000,Diesel,Individual,Manual,Third Owner,21.12,1248.0,88.8,5.0,10,170000
120000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,5,335000
