iter	Passed	Remaining
0	220	219997
1	223	111650
2	227	75514
3	230	57363
4	233	46396
5	237	39332
6	240	34110
7	243	30193
8	246	27128
9	249	24662
10	253	22769
11	256	21079
12	258	19663
13	261	18449
14	264	17380
15	267	16453
16	270	15662
17	273	14928
18	276	14266
19	279	13674
20	282	13171
21	285	12684
22	288	12238
23	290	11832
24	293	11454
25	298	11198
26	303	10920
27	306	10634
28	310	10387
29	313	10149
30	317	9914
31	320	9700
32	323	9479
33	328	9343
34	331	9152
35	335	8980
36	338	8818
37	344	8714
38	347	8560
39	350	8415
40	355	8320
41	363	8298
42	368	8191
43	371	8082
44	376	7993
45	379	7869
46	382	7747
47	384	7630
48	390	7572
49	393	7467
50	395	7363
51	398	7258
52	402	7197
53	405	7107
54	408	7024
55	411	6935
56	414	6854
57	418	6792
58	422	6731
59	425	6663
60	428	6590
61	430	6516
62	435	6482
63	437	6395
64	440	6333
65	442	6261
66	445	6202
67	450	6168
68	451	6098
69	456	6064
70	459	6007
71	461	5942
72	462	5872
73	467	5850
74	470	5799
75	473	5754
76	476	5705
77	478	5660
78	482	5621
79	485	5580
80	488	5537
81	490	5493
82	493	5449
83	497	5420
84	500	5383
85	503	5347
86	505	5307
87	508	5267
88	512	5247
89	515	5207
90	517	5171
91	520	5136
92	523	5103
93	527	5081
94	530	5057
95	533	5025
96	536	4994
97	539	4963
98	543	4949
99	547	4923
100	551	4906
101	555	4886
102	560	4879
103	563	4854
104	566	4829
105	569	4799
106	571	4769
107	576	4760
108	578	4732
109	581	4706
110	584	4680
111	587	4659
112	591	4642
113	594	4617
114	596	4593
115	599	4571
116	602	4547
117	607	4537
118	609	4514
119	611	4482
120	614	4460
121	616	4438
122	619	4419
123	623	4407
124	626	4385
125	629	4363
126	631	4337
127	634	4323
128	638	4313
129	641	4295
130	645	4278
131	648	4262
132	651	4245
133	655	4237
134	659	4224
135	662	4210
136	665	4194
137	670	4187
138	673	4169
139	676	4156
140	680	4148
141	686	4145
142	689	4133
143	693	4120
144	696	4104
145	700	4094
146	702	4078
147	705	4063
148	708	4047
149	711	4030
150	713	4014
151	718	4006
152	720	3991
153	723	3976
154	727	3963
155	729	3948
156	734	3944
157	738	3932
158	740	3917
159	743	3901
160	747	3895
161	751	3888
162	757	3891
163	760	3878
164	765	3871
165	768	3860
166	771	3847
167	773	3832
168	777	3820
169	781	3815
170	784	3802
171	787	3788
172	789	3774
173	792	3761
174	796	3756
175	799	3743
176	802	3730
177	804	3716
178	807	3703
179	811	3696
180	814	3684
181	816	3671
182	819	3657
183	822	3646
184	827	3644
185	836	3658
186	839	3650
187	845	3653
188	852	3659
189	859	3662
190	864	3663
191	870	3663
192	876	3662
193	880	3656
194	885	3654
195	890	3653
196	894	3644
197	897	3635
198	901	3627
199	905	3621
200	910	3619
201	913	3610
202	917	3601
203	922	3598
204	925	3588
205	929	3584
206	934	3579
207	939	3576
208	943	3569
209	947	3564
210	951	3556
211	957	3557
212	962	3555
213	966	3549
214	972	3549
215	975	3541
216	979	3532
217	982	3523
218	987	3520
219	990	3510
220	992	3499
221	995	3489
222	999	3481
223	1004	3479
224	1007	3468
225	1009	3458
226	1012	3448
227	1016	3443
228	1020	3434
229	1023	3425
230	1025	3415
231	1028	3404
232	1033	3400
233	1036	3394
234	1039	3384
235	1043	3377
236	1047	3373
237	1052	3370
238	1055	3361
239	1059	3353
240	1062	3347
241	1066	3341
242	1069	3331
243	1072	3324
244	1076	3316
245	1081	3315
246	1085	3308
247	1089	3303
248	1092	3295
249	1100	3300
250	1103	3293
251	1106	3284
252	1109	3275
253	1114	3272
254	1118	3266
255	1120	3257
256	1123	3249
257	1129	3248
258	1132	3239
259	1136	3233
260	1138	3224
261	1142	3217
262	1146	3212
263	1151	3209
264	1154	3202
265	1158	3196
266	1162	3190
267	1165	3183
268	1168	3175
269	1171	3167
270	1176	3165
271	1180	3159
272	1183	3151
273	1186	3143
274	1190	3137
275	1194	3132
276	1197	3124
277	1200	3116
278	1203	3109
279	1207	3105
280	1211	3100
281	1214	3092
282	1217	3085
283	1221	3080
284	1225	3074
285	1228	3066
286	1231	3060
287	1234	3052
288	1240	3052
289	1243	3045
290	1247	3038
291	1250	3031
292	1255	3029
293	1258	3021
294	1260	3013
295	1263	3005
296	1266	2998
297	1271	2995
298	1275	2989
299	1278	2983
300	1282	2977
301	1287	2975
302	1290	2967
303	1292	2959
304	1295	2952
305	1298	2945
306	1303	2941
307	1306	2936
308	1310	2930
309	1313	2923
310	1318	2920
311	1321	2913
312	1324	2907
313	1327	2899
314	1330	2892
315	1334	2889
316	1338	2883
317	1341	2876
318	1344	2870
319	1349	2867
320	1352	2861
321	1356	2855
322	1360	2851
323	1366	2850
324	1370	2847
325	1374	2841
326	1377	2835
327	1385	2837
328	1388	2832
329	1396	2835
330	1401	2833
331	1405	2828
332	1412	2828
333	1417	2826
334	1421	2822
335	1429	2825
336	1433	2819
337	1438	2817
338	1446	2819
339	1452	2819
340	1461	2824
341	1464	2818
342	1468	2813
343	1476	2816
344	1481	2813
345	1488	2812
346	1500	2823
347	1505	2820
348	1510	2817
349	1516	2816
350	1520	2810
351	1525	2807
352	1529	2803
353	1532	2797
354	1541	2800
355	1548	2800
356	1552	2796
357	1560	2798
358	1564	2792
359	1568	2787
360	1577	2792
361	1580	2786
362	1587	2786
363	1593	2784
364	1598	2780
365	1604	2779
366	1609	2775
367	1614	2772
368	1621	2772
369	1624	2766
370	1629	2762
371	1637	2763
372	1644	2763
373	1647	2758
374	1656	2760
375	1660	2756
376	1664	2749
377	1671	2750
378	1676	2746
379	1679	2740
380	1689	2744
381	1693	2739
382	1700	2739
383	1704	2733
384	1708	2729
385	1716	2730
386	1721	2727
387	1726	2723
388	1732	2721
389	1736	2716
390	1741	2712
391	1747	2710
392	1751	2705
393	1755	2700
394	1759	2695
395	1765	2692
396	1768	2686
397	1772	2680
398	1776	2676
399	1781	2672
400	1785	2667
401	1789	2662
402	1795	2659
403	1799	2654
404	1804	2651
405	1809	2647
406	1815	2645
407	1819	2639
408	1823	2634
409	1828	2631
410	1832	2626
411	1836	2621
412	1843	2619
413	1846	2614
414	1851	2609
415	1854	2602
416	1860	2600
417	1863	2594
418	1866	2588
419	1869	2582
420	1876	2580
421	1881	2577
422	1884	2570
423	1888	2566
424	1896	2565
425	1900	2561
426	1908	2561
427	1913	2557
428	1918	2553
429	1923	2550
430	1930	2549
431	1939	2550
432	1943	2544
433	1946	2538
434	1949	2532
435	1958	2533
436	1963	2529
437	1968	2525
438	1972	2520
439	1975	2514
440	1979	2509
441	1984	2505
442	1987	2498
443	1990	2492
444	1994	2486
445	1997	2480
446	2001	2476
447	2004	2469
448	2007	2463
449	2011	2458
450	2015	2453
451	2018	2446
452	2022	2441
453	2025	2435
454	2028	2429
455	2033	2425
456	2036	2420
457	2039	2413
458	2042	2407
459	2046	2402
460	2051	2398
461	2054	2393
462	2058	2387
463	2061	2381
464	2065	2376
465	2068	2370
466	2071	2364
467	2074	2358
468	2079	2354
469	2082	2347
470	2085	2341
471	2088	2336
472	2091	2330
473	2095	2325
474	2098	2319
475	2101	2313
476	2105	2308
477	2107	2301
478	2110	2296
479	2114	2290
480	2117	2284
481	2120	2278
482	2125	2274
483	2127	2268
484	2130	2262
485	2134	2257
486	2137	2251
487	2142	2248
488	2146	2243
489	2149	2237
490	2152	2231
491	2157	2227
492	2160	2221
493	2163	2215
494	2166	2210
495	2169	2204
496	2173	2199
497	2176	2193
498	2179	2187
499	2182	2182
500	2185	2176
501	2189	2172
502	2192	2166
503	2196	2161
504	2200	2156
505	2204	2152
506	2208	2147
507	2212	2142
508	2215	2136
509	2219	2132
510	2222	2126
511	2226	2121
512	2229	2116
513	2234	2112
514	2238	2108
515	2241	2102
516	2244	2097
517	2247	2091
518	2252	2087
519	2256	2083
520	2259	2077
521	2262	2071
522	2267	2067
523	2271	2063
524	2275	2059
525	2279	2053
526	2283	2049
527	2286	2043
528	2288	2038
529	2291	2032
530	2294	2026
531	2298	2022
532	2301	2016
533	2304	2011
534	2307	2005
535	2309	1999
536	2314	1995
537	2317	1990
538	2320	1984
539	2323	1979
540	2327	1974
541	2331	1969
542	2334	1964
543	2337	1959
544	2340	1954
545	2382	1981
546	2388	1977
547	2395	1975
548	2400	1972
549	2405	1968
550	2414	1967
551	2419	1963
552	2424	1959
553	2430	1956
554	2435	1952
555	2442	1950
556	2457	1954
557	2461	1949
558	2465	1944
559	2486	1953
560	2490	1949
561	2493	1943
562	2496	1938
563	2499	1932
564	2502	1926
565	2508	1923
566	2511	1917
567	2514	1912
568	2516	1906
569	2519	1900
570	2523	1896
571	2526	1890
572	2529	1884
573	2531	1879
574	2534	1873
575	2538	1868
576	2541	1863
577	2544	1857
